Human Timestamp,Unix Time,Microseconds,System Failure,Accelerometer Failure,Gyroscope Failure,Magnetometer Failure,Pressure Failure,GNSS Failure,Accelerometer Overrange,Gyroscope Overrange,Magnetometer Overrange,Pressure Overrange,Minimum Temperature,Maximum Temperature,Low Voltage,High Voltage,GNSS Antenna Disconnected,Data Overflow,Orientation Ready,Navigation Ready,Heading Ready,Time Ready,GNSS Fix Type,Event 1 Flag,Event 2 Flag,Internal GNSS Enabled,Magnetic Heading Enabled,Velocity Heading Enabled,Atmospheric Altitude Enabled,External Position Active,External Velocity Active,External Heading Active,Latitude (degrees),Longitude (degrees),Height (m),Velocity North (m/s),Velocity East (m/s),Velocity Down (m/s),Acceleration X (m/s/s),Acceleration Y (m/s/s),Acceleration Z (m/s/s),G Force (g),Roll (degrees),Pitch (degrees),Heading (degrees),Angular Velocity X (degrees/s),Angular Velocity Y (degrees/s),Angular Velocity Z (degrees/s),Latitude Error (m),Longitude Error (m),Height Error (m)
Wed Jan 01 01:04:28 CET 2020,1577837068,50790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.828863202621879,3.295247228805922,309.98187842062106,0.9019166899623734,3.2342630500005645,1.2986331255953993,0.0,0.0,50.0
Wed Jan 01 01:04:28 CET 2020,1577837068,150790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.245453743246855,3.7558190270984064,310.27584490547497,4.052948344884006,4.702590707705115,0.0898657096017471,0.0,0.0,50.0
Wed Jan 01 01:04:28 CET 2020,1577837068,250790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.72510139726275,4.00448860806871,310.58556757427027,-5.383743920589106,2.6234932669117583,0.5168172677426776,0.0,0.0,50.0
Wed Jan 01 01:04:28 CET 2020,1577837068,350790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.94428611405998,4.60301444226937,310.8286907380706,2.1414702729479687,5.97484609807187,-0.5503969062141651,0.0,0.0,50.0
Wed Jan 01 01:04:28 CET 2020,1577837068,450790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.46017930527141,5.161522957032833,310.74781158425077,-4.835674363389127,5.45125229608966,-1.466581254224769,0.0,0.0,50.0
Wed Jan 01 01:04:28 CET 2020,1577837068,550790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.641002236767728,5.450643346779658,310.8506833400701,-8.11075674881743,2.764920985249821,-1.5602378705978548,0.0,0.0,50.0
Wed Jan 01 01:04:28 CET 2020,1577837068,650790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.124358028311559,5.567375833154622,310.8030650825605,5.040945225937133,0.9330914947180903,-2.8678070085753724,0.0,0.0,50.0
Wed Jan 01 01:04:28 CET 2020,1577837068,750811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.968728069959317,5.340430807204405,310.5447685776281,-1.3308549224598882,-2.515734131286375,-2.316026230144372,0.0,0.0,50.0
Wed Jan 01 01:04:28 CET 2020,1577837068,850790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.063394995265094,5.361471432615602,310.6811732230685,-9.067763999132339,0.1716905790030967,-0.9714769301805896,0.0,0.0,50.0
Wed Jan 01 01:04:28 CET 2020,1577837068,950790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.883166338290023,5.4155361744457915,311.0363576309794,-1.9216816156461285,0.6840627975794253,1.1940825092781246,0.0,0.0,50.0
